[00:00] 人生迷惘 职场内好
[00:03] 欢迎收听 任性逆逆 机智生活
[00:06] 欢迎收听 任性逆逆 机智生活
[00:15] 我是Mandy 曼蒂 逆逆
[00:17] 我是神灾教母 艾比
[00:18] 艾比 今天呢
[00:20] 我们要采访一位作家
[47:36] 他把就是
[47:37] 他怎么去分析
[47:39] 这个职务
[47:40] 还有他
[47:41] 因为讲的不是旅游邮城
[47:43] 所以你就会感觉到说
[47:45] 喔他其实
[47:45] 他的自理行间
[47:46] 你可以感受到逻辑
[47:48] 可是你回去看他的部落格的时候
[47:50] 或是看他的
[47:51] Facebook或IG的时候
[47:53] 你可能又会觉得说
[47:54] 哇 他的在情感上面
[47:56] 或在叙事上面
[47:57] 在讲故事的能力
[47:58] 也非常的强
[48:00] 很厉害
[48:00] 而且刚刚光聊天
[48:02] 我都觉得脑子很有画面
[48:03] 很会描述欸
[48:05] 就他没有你想象那么哀人的那种
[48:09] 他其实没有很哀啊
[48:11] 他只是在他的那个
[48:12] 他喜欢这一个
[48:13] 他自己的这个宇宙
[48:15] 对
[48:15] 刚刚他讲了一个我不知道的事
[48:19] 就是你在做旅游波罗克之前
[48:20] 是老板的特助
[48:22] 对 就我其实
[48:23] 第一份工作是旅行社老板的特助
[48:26] 对
[48:27] 那是什么样契机让你突然有这样子的
[48:29] 变成现在这样的工作
[48:31] 应该说我当时就当老板的特助
[48:35] 然后就
[48:36] 其实就也没有不好
[48:37] 其实当特助蛮好玩的
[48:38] 因为会接触到很多不同的事情
[48:40] 然后也可以常常出差或什么
[48:42] 那我当时遇到一个很严重的状况
[48:44] 就是因为是老板的特助
[48:46] 所以我觉得假期的概念是很模糊的
[48:50] 就是你就算请假
[48:51] 假班的概念也很模糊吧
[48:53] 就是下班的概念
[48:54] 超级模糊的
[48:56] 我完全理解
[48:56] 就是我印象好深喔
[48:58] 就有一次
[48:58] 我跟我的一个同事
[48:59] 然后就我们一起
[49:00] 买了周末的机票去日本
[49:02] 然后我们也就请了周一而已
[49:04] 然后周一的时候
[49:05] 老板就打电话到日本给我们
[49:08] 然后我们就三个人
[49:09] 抱着我们的行李
[49:10] 站在一世神功的前面
[49:12] 轮流听老板
[49:13] 就是跟我们交代各种事情
[49:15] 然后说你们怎么就是
[49:16] 可以就是请假
[49:17] 一起出去玩
[49:18] 还什么这一类
[49:19] 然后就是生活中会有很多
[49:21] 你觉得你好像放假了
[49:23] 但是你随时要处理事情
[49:25] 然后或者是说
[49:26] 其实请假也很不容易
[49:28] 就请假本身这件事情就不容易了
[49:30] 然后你好不容易请到了假以后
[49:32] 就是有突发事件的时候
[49:34] 你又不能处理
[49:34] 然后就我之前还有聊过一个
[49:37] 就真的让我觉得
[49:38] 我好像没有办法的
[49:40] 还有另外一个让我印象的
[49:41] 其实那时候我到了纽约
[49:43] 然后在帝国大厦上面
[49:44] 然后我要等日黄昏和夜景
[49:47] 然后我就是很期待
[49:48] 但是在上面的时候
[49:49] 就突然间有一个
[49:51] 厂商有一个很急的东西
[49:54] 所以我就收到了信
[49:56] 然后就是
[49:58] 是一个不能不处理的
[49:59] 所以我就只好拿出我的笔电
[50:01] 然后在帝国大厦的
[50:04] 好煞风景
[50:06] 我就在帝国大厦观景台
[50:07] 疯狂的处理那个紧急事件
[50:09] 然后等到整个紧急事件处理完的时候
[50:12] 我的日落也结束了
[50:13] 对就只剩下夜景
[50:15] 然后我就觉得
[50:16] 虽然我很喜欢那份工作
[50:19] 但是我就一直在想
[50:20] 我有办法就是一直一直
[50:22] 这样子下去吗
[50:23] 一直错过日落
[50:25] 因为我真的很喜欢很喜欢旅行这件事情
[50:28] 我觉得我没有办法在一个
[50:30] 没有办法自由旅行的状态下
[50:33] 好好的活下去
[50:34] 但是我觉得
[50:35] 当老板的特助是不太可能
[50:39] 对
[50:39] 获得这件事情
[50:41] 就算你有办法请特休
[50:43] 或请什么事情
[50:43] 你也不可能
[50:44] 不管公司的事
[50:46] 然后所以就是
[50:48] 也很刚好的
[50:49] 就是在这个时候
[50:50] 就是孤独星球
[50:51] 刚好在网路上
[50:52] 就是放了他们要
[50:53] 就是真人的消息
[50:54] 对那刚好就朋友提给我
[50:56] 那我就想说
[50:57] 那既然我已经开始在思考
[50:58] 这个工作我能不能做一辈子了
[51:00] 那不然就是我就试试看
[51:02] 就是试试看没有损失嘛
[51:04] 对但就是我当时就是
[51:06] 有点呢
[51:08] 就我也很慢回来以后会没工作
[51:10] 因为我还是蛮喜欢那份工作
[51:11] 所以我就去跟老板谈刘子天心
[51:14] 我就跟他说
[51:16] 可不可以给我就是两年的时间
[51:18] 那我就是很想要去试试看这份工作
[51:21] 因为我觉得这份工作的
[51:22] 对我来说就是想象里
[51:24] 我觉得我应该是会有兴趣的
[51:27] 那可不可以给我两年时间
[51:28] 那我就去试试看
[51:29] 如果我发现
[51:30] 我其实没那么喜欢
[51:32] 就是如果现实跟我的想象不一样
[51:34] 又或者是我发现
[51:35] 我其实没有办法靠这份工作
[51:37] 获得我想要的收入的话
[51:40] 那我就是我就会消掉
[51:43] 那个流子听信我会回来上班的
[51:44] 然后就老板
[51:45] 当时跟老板关系
[51:46] 就其实一直到现在
[51:48] 跟老板的关系都还不错
[51:49] 就我们到现在都还会约吃饭
[51:50] 是个很好的老板
[51:51] 就是虽然他刚刚这样子
[51:53] 就是一直在我放假说收容
[51:55] 我但还是帮他说点话
[51:56] 他还是说不错的
[51:57] 我怕他明年那个约吃饭不想见我
[52:00] 对对对
[52:01] 赶快就是弥补一下
[52:03] 对但总之就是当时我就这样
[52:05] 那也就是后来也就是好好的
[52:07] 刚好就是发现我真的好喜欢这件事情
[52:10] 然后也就是获得了我预期中的收入那所以也就一个不小心就走十年了这样所以是孤独星球开启了对对对就是跳出来创业这件事情
[52:22] 因为我觉得它就真的是一个很刚好
[52:24] 其实因为我自己其实是
[52:26] 就是那一本指南的爱用者
[52:27] 就我之前去很多地方旅行的时候
[52:29] 我自己也都会带他们指南
[52:31] 然后我就觉得可以帮一间
[52:33] 就是我喜欢的公司
[52:34] 然后旅行也是我喜欢的事情
[52:37] 写字也是我喜欢的事情
[52:39] 那可以结合这么多喜欢的事情
[52:41] 然后机会又难得
[52:43] 就是我觉得我好像没有
[52:45] 我觉得我不试试看
[52:46] 我未来一定会后悔
[52:47] 我觉得我一定会后悔
[52:49] 所以就我现在的人生哲学
[52:51] 就是我
[52:51] 就是我不想要让自己
[52:53] 有任何后悔的机会
[52:55] 所以我就是宁愿所有事情
[52:57] 都先试试看
[52:58] 就是宁愿试了
[52:59] 失败了就算了
[53:00] 失败了就收拾
[53:01] 收拾再去做别的事情就好
[53:03] 但我觉得真的就是
[53:05] 会让人后悔到最后
[53:06] 真的都是你没有尝试
[53:07] 没有做的事情
[53:08] 因为就是做回了
[53:09] 你就知道啊不行
[53:10] 你就不会有遗憾在心里了
[53:12] 对
[53:12] 然后所以
[53:12] 因为我一直是抱持着
[53:14] 这样子的想法长大
[53:15] 所以我当时的想法
[53:16] 就是说有了一个这样的机会
[53:18] 我怎么样子都想要去试试看
[53:19] 所以就去试了
[53:21] 那也就真的刚好就
[53:22] 对啊就这样了
[53:23] 这样就十年了
[53:25] 对啊很快
[53:25] 好可怕喔
[53:26] 那我们两个是不是太晚才
[53:28] 就是遇到
[53:29] 对我们两个太晚
[53:30] 遇到那个CEO之类的
[53:32] 对我们太晚
[53:33] 才会今年才
[53:34] 我们的孤独星球太晚之间
[53:36] 我们都是今年才离开职场
[53:37] 就是想要
[53:38] 认真想做的事情
[53:39] 泰湾出现了
[53:40] 不是
[53:41] 是那个泰湾才
[53:42] 泰湾下定决心
[53:43] 对
[53:43] 因为其实我们两个
[53:45] 因为是今年都
[53:46] 我们两个是一起
[53:47] 都是今年才离开职场
[53:48] 不然在今年之前
[53:49] 我们都是在
[53:50] 那个in house在上班
[53:52] 对
[53:53] 那我们认识的时候
[53:55] 就一直在讨论这件事情
[53:56] 就是刚好就
[53:57] 我们认识的时间
[53:59] 是我们两个都觉得
[54:00] 有所谓的
[54:01] 中年焦虑的这件事情
[54:02] 对
[54:03] 可是又不知道该
[54:04] 因为其实我们对于未来
[54:06] 是没有办法想象说
[54:07] 所以我有天不工作的话
[54:09] 我要做什么
[54:10] 然后就在这个状况底下卡了很久
[54:14] 然后也才开了这个节目这样子
[54:17] 然后后来我们就同样的时间
[54:20] 离开了就是公司这样子
[54:22] 然后各自都发展各自的
[54:24] 对
[54:24] 这样算快一年了齁
[54:26] 快一年了对啊所以你清醒的很早对你不要这样很好欸我们应该也早点清醒我觉得运气好就是那个机遇刚好出现的很早真的啊
[54:36] 真的啊
[54:37] 太好了
[54:38] 但是我觉得
[54:39] 确实像我
[54:40] 如果是我是JC的话
[54:42] 我应该就是不适合做旅游作家
[54:45] 或是旅游KOL的那种人
[54:46] 第一个就是
[54:48] 没有
[54:48] 第一个是我
[54:49] 我旅游不喜欢吃苦
[54:51] 然后第二个就是
[54:53] 其实我曾经在
[54:54] 就是公司派我去采线
[54:56] 然后我就觉得很高兴
[54:57] 然后我当时就承诺了很多
[54:59] 就是公司里面要求我写的文字
[55:02] 就是文字有就是
[55:03] 比较高端的杂志的口吻
[55:06] 还有一般部落客的语气
[55:08] 然后还有就是
[55:10] 对同业的广编稿
[55:13] 新闻稿这种
[55:14] 我跟你说
[55:15] 我那一个过年
[55:16] 在家里过得好难过
[55:17] 我坐在桌子前面
[55:19] 我要写三种语气
[55:21] 我真的刻不出来
[55:23] 可惜那时候没有AI
[55:24] 真的
[55:25] 现在有AI
[55:25] 完全没有这个问题
[55:27] 但是还是我觉得
[55:29] 写书不是一件容易的事情
[55:31] 即便你有AI
[55:33] 对
[55:33] 你可能没有办法
[55:35] AI帮你产出那三万字
[55:37] 或五万字
[55:38] 或十万字好了
[55:39] 但你里面应该要充斥
[55:41] 各式各样你的想法
[55:43] 对 没错
[55:43] 你的观点
[55:44] 跟你怎么解构这件事情
[55:46] 因为他解构的
[55:47] 他解构出来的东西
[55:49] 是大家都这么解构啊
[55:50] 对
[55:51] 那你在哪里
[55:52] 你的观点在哪里
[55:53] 对
[55:53] 因为还是要放自己的东西
[55:56] 而且应该是说
[55:57] 今天他可以帮你产出这个
[55:59] 然后帮你过得了这一关
[56:00] 那下一关呢
[56:01] 你以后要跟Jesse一样
[56:02] 每一个都要用文字处理吗
[56:05] 这是你的专场吗
[56:06] 你会觉得做这件事情很开心吗
[56:09] 真的
[56:09] 对那他是做这件事情很开心耶
[56:12] 乐在其中
[56:14] 真的要乐在其中
[56:15] 听了以后觉得很高兴
[56:17] 真的真的
[56:18] 我突然也觉得
[56:19] 我们两个也选
[56:20] 对我们现在的工作也都乐在其中
[56:21] 对
[56:22] 我真的觉得可以有一个乐在其中的工作
[56:24] 是非常非常快乐的事情
[56:26] 真的
[56:26] 那我们也
[56:28] Jesse帮我们重复一下
[56:30] 你的这本书的书名
[56:32] 就是最近出的那本书叫
[56:35] 《漫旅世界》
[56:36] 再带个故事回来
[56:38] 对那里面讲的就是我这十年间
[56:41] 就是从我怎么从人生的第一趟自助旅行开始然后一路就是阴错阳差的到实际成为了旅游指南作者的一路的经历然后我的心得然后后面还有就是刚刚我提到
[56:52] 就是那很像
[56:53] 我觉得那是写指南的职业病
[56:55] 就是本来就是出版社是说
[56:58] 他们想要一本
[56:58] 就是很励志的书
[57:00] 然后就是跟大家分享
[57:01] 就是前面这一段
[57:02] 然后我后面不小心越写越务实
[57:04] 所以后面有很多
[57:06] 就是关于
[57:06] 你要成为旅游指南这个作者
[57:09] 你可以先评
[57:10] 有一些元素
[57:12] 你可以评估自己合不合适
[57:14] 还有这个作者的工作
[57:15] 实际上是怎么样子的
[57:16] 还有就是
[57:17] 如果你真的从事了
[57:18] 你喜欢以后
[57:19] 你要靠这个方式活下来
[57:22] 像刚刚提到
[57:22] 有哪些变现的管道
[57:24] 或者是你可以做哪些事情
[57:25] 来扩大你的案源
[57:26] 甚至是报价
[57:28] 对
[57:28] 然后最后面的话会有一些
[57:29] 就是我这十年来
[57:30] 常常在我的粉丝业
[57:32] 收到的关于旅游指南
[57:34] 这个作者的提问
[57:36] 那我有给了一些回答
[57:37] 像是没有灵感的时候怎么办啊
[57:39] 会不会做这个职业
[57:40] 我就一辈子不能结婚
[57:41] 只能单身到死啊
[57:43] 就是这一类的问题
[57:44] 对
[57:45] 就是在书里都有回答
[57:46] 所以如果
[57:47] 对
[57:47] 这有兴趣可以去找来看看
[57:49] 对
[57:50] 我觉得市场上应该比较没有这样的书
[57:52] 因为其实很多人不
[57:53] 不把这件事情当做是一个
[57:55] 很正式的职业
[57:58] 但其实他其实已经是一个职业了
[58:02] 没错
[58:02] 然后现在也有很多人
[58:04] 就是像刚才Jesse讲的
[58:05] 就是他对于这个职务是有憧憬的
[58:08] 但他根本不知道
[58:09] 这里面背后代表的是什么
[58:10] 那我觉得有一个人
[58:12] 有一个前辈可以告诉大家
[58:14] 这里面掺杂着哪一些的成分
[58:16] 然后你要留意的事情
[58:18] 你要怎么去做评估
[58:19] 我觉得都还蛮适合的
[58:21] 所以如果你有兴趣
[58:22] 你也很爱旅游
[58:23] 那你有没有想过
[58:24] 想要用旅游去赚钱
[58:26] 或成为你的志业的话
[58:28] 这本书可以待会儿去看一看
[58:30] 除了有梦幻的一面
[58:31] 也有实用的一面
[58:32] 也有很务实
[58:34] 也有务实的一面
[58:36] 对
[58:36] 还有我们真的去
[58:39] 去那个当地旅游
[58:41] 有真的在马桶上面洗澡过
[58:43] 这太好笑了
[58:45] OK好
[58:47] 那今天就很谢谢Jesse
[58:48] 来到我们的节目
[58:50] 也很谢谢她的这个分享
[58:52] 也希望所有观众听众
[58:54] 可以去买她的书
[58:55] 买她的书
[58:56] 好吗
[58:57] OK
[58:57] 今天谢谢Jesse
[58:59] 谢谢
[58:59] 拜拜
