[00:00] 小时候总认为幸福是一味的甜
[46:01] 这些其实都是在安定自己
[46:03] 然后我要去怎么思考
[46:05] 我现在的状态
[46:06] 然后我怎么样去解决
[46:08] 然后里面有一些案例的分享
[46:10] 所以是希望大家从内心安定
[46:12] 去转换到我实质上我的执行
[46:16] 就像我现在也是
[46:18] 那个时候在处置这批钱的时候
[46:21] 我的心真的很难过
[46:24] 我每天就是开着账户
[46:25] 我想说我把账户关掉好了
[46:26] 为什么要做这件事情
[46:27] 对为什么要这样呢
[46:28] 你看我今天就是
[46:30] 又少赚了
[46:30] 又少赚多少钱
[46:31] 但我明明知道我是对的
[46:34] 对
[46:35] 你看我们今天前面在闲聊
[46:38] 那些工作转折
[46:39] 到一直到下
[46:40] 其实我们都围绕了
[46:40] 这本书里面
[46:41] 就是最终
[46:42] 有回到你的话
[46:44] 值得过上好日子
[46:45] 这件事情
[46:46] 这真的超重要
[46:47] Toto你真的很值得
[46:49] 真的很值得
[46:49] 永远跟自己说
[46:51] 蛮适合你们节目的
[46:52] 蛮适合的
[46:53] 适合我们节目的妈妈或上班
[46:56] 没错没错
[46:57] 尤其是职业妇女
[46:58] 我觉得超需要听这一集
[47:00] 你就可以理解到就是
[47:02] 就是
[47:02] 怎么样让自己成为更好的人
[47:05] 然后怎么样让
[47:07] 不要让金钱控制自己
[47:08] 我以前就是那种被金钱控制的人
[47:10] 你现在也赚钱啦
[47:12] 对现在就慢慢
[47:13] 因为我以前就
[47:14] 我刚刚我们就来聊天嘛
[47:15] 其实我以前是不投资的
[47:16] 我连开户都没有
[47:17] 然后我们在节目前来讲
[47:18] 我的开户是被他跟聪明主婚压的去开
[47:21] 对
[47:21] 然后他还紧张兮兮说这什么东西
[47:23] 我跟他讲说你现在去开户你今天有请假对 我要请假去开户他那时候还在公司对 我记得有 我也也请假去开户然后就搞得很匆忙然后还跟我们连线然后对对对什么要填什么
[47:35] 什么什么什么
[47:35] 然后开完户之后
[47:36] 接下来我要干嘛
[47:37] 对
[47:38] 因为跟Ivy比较熟啦
[47:40] 所以我们是有跟他讲说
[47:42] 反正你就
[47:42] 你就干嘛干嘛干嘛干嘛
[47:44] 就对了
[47:44] 你就买什么
[47:45] 就买什么什么
[47:45] 这样就对了
[47:46] 然后说哦好
[47:46] 那因为我也是属于很懒的那种
[47:48] 就是我不会一直去看盘啊
[47:50] 那种
[47:50] 我就钱就放在那里
[47:51] 然后某一天
[47:52] 突然聪明主妇就提醒我说
[47:55] 你去看一下账户
[47:56] 然后我就想说
[47:57] 没想到睡觉的时候
[47:58] 也有钱进来
[47:59] 应该是佩喜的时候
[48:02] 对是佩喜的时候
[48:03] 他叫我去看
[48:03] 我想说什么东西
[48:04] 竟然有钱
[48:06] 对那时候我才感受到
[48:08] 原来投资这件事情
[48:09] 就是用钱赚钱这件事情
[48:11] 其实必须要在你的
[48:12] 所有的资产配置里面
[48:14] 要占一环
[48:15] 以前我是完全没有
[48:16] 我就是死存钱
[48:18] 其实也没存钱
[48:18] 就是我就是有钱多少
[48:20] 就花多少人
[48:21] 就其实我是人家讲的月光族
[48:23] 对
[48:23] 然后我也没有什么存钱的概念
[48:25] 然后我存
[48:26] 那时候唯一用存钱
[48:27] 就是用那个
[48:28] 邮局的储蓄钱
[48:30] 我用那个东西存钱
[48:31] 因为对我来说简单嘛
[48:33] 就扣
[48:33] 安全
[48:33] 对
[48:34] 然后后来我才知道
[48:35] 哦原来还有这种方法
[48:36] 还有定期定额这件事情
[48:37] 我慢慢才接触到
[48:39] 我才调整了我整个的
[48:41] 生活的形式
[48:43] 然后包含为什么
[48:44] 为什么后来可以
[48:45] 很安心的离职
[48:46] 是因为
[48:47] 而且我以前
[48:47] 我现在我说这
[48:48] 我现在的固定薪水
[48:49] 没有以前多
[48:50] 但我还可以过得
[48:51] 跟以前也没有
[48:52] 没有什么差异的
[48:54] 而且变得更好
[48:54] 甚至更好的生活平时
[48:55] 我有多更多的时间陪小孩
[48:57] 对
[48:57] 我觉得这是
[48:58] 蛮大的转变
[48:59] 真的
[48:59] 以前很难想象
[49:01] 以前很难想象
[49:02] 现在这样的生活
[49:03] 真的
[49:03] 你到底凭什么可以
[49:05] 有多的时间
[49:06] 然后收入不少
[49:07] 然后但是你还觉得
[49:08] 你过得下去
[49:09] 是真的
[49:10] 以前就觉得
[49:11] 我那个薪水如果没有了
[49:12] 我就晚了
[49:13] 我可能
[49:14] 可能小孩学费交不出来啊
[49:16] 或者是我可能贷款
[49:17] 没办法缴啊
[49:17] 我以前会这样惧怕
[49:19] 但现在其实就比较不会这样
[49:20] 所以我的梦想就是呢
[49:22] 可以让我的经纪人
[49:23] 明年的收入再跟
[49:25] 对谢谢你哦
[49:26] 谢谢你哦
[49:26] 他一定会
[49:27] 出去多赚钱
[49:28] 对
[49:28] 出去多赚钱
[49:30] 当然一开口就赚钱
[49:31] 我们春酒发的那个台积电也赚了
[49:33] 真的那个也赚钱了
[49:34] 真的太感谢了
[49:35] 对我春酒的时候
[49:36] 因为我不知道要准
[49:37] 我本来想要准备那个小晶片
[49:39] 小晶豆那个
[49:40] OKOK
[49:40] 就是那时候大概3000多块的时候
[49:44] 对对对
[49:44] 买不到
[49:44] 完全买不到
[49:46] 现在很贵了
[49:47] 对他那时候就是让我们一人买
[49:49] 然後我們就說那不然這樣好了
[49:50] 我省一點
[49:50] 我送一人一股台積電
[49:52] 一股台積電
[49:52] 那時候我還不懂喔
[49:53] 我想說台積電不是好幾百萬喔
[49:55] 我想說我沒錢我不要
[49:57] 他說不是
[49:57] 一股兩股不一樣
[49:59] 几千块就有了
[50:01] 我现在是小小股东
[50:03] 对
[50:03] 我现在真的是小小小股东
[50:05] 小小小股东
[50:06] 可是已经差很多了
[50:08] 真的
[50:08] 已经赚到快要一千块了
[50:10] 是是是
[50:11] 有有有
[50:12] 我们只买一千多
[50:13] 开开心心
[50:14] 开开心心
[50:16] 我非常推荐大家一定要看兔兔
[50:19] 这里面有很多的想法都是
[50:21] 我就说是我去年才意识到
[50:23] 像那个赚钱跟花
[50:25] 赚钱跟花钱是两件事情
[50:27] 我以前就是赚多少花多少
[50:29] 就跟Ivy一样
[50:30] 所以我的薪水变高以后
[50:32] 我的生活的成本也变高
[50:34] 然后你就会更害怕
[50:36] 因为你完全没有办法降下来
[50:38] 没错
[50:38] 就是因为这个原因
[50:40] 可是你看我现在
[50:40] 我大概现在拿的钱
[50:42] 可能也只有之前的七成吧
[50:46] 我五成到七成
[50:47] 可是我就觉得说
[50:48] 可是我花的钱
[50:49] 是以前的三分之一
[50:51] 是啊
[50:51] 我也是
[50:52] 而且我们那时候
[50:53] 刚离职的时候超好笑
[50:54] 我们两个人都在想说
[50:55] 因为以前我们都会约
[50:56] 咖啡店啊聊天啊
[50:58] 吃点餐
[50:58] 先减餐啊
[50:59] 后来有一次
[51:00] 我们就出来说说
[51:01] 去Seven
[51:01] 去Seven买个饮料
[51:02] 两天好了
[51:03] 对
[51:04] 我到现在都是
[51:05] 去Seven的人啊
[51:06] 因为我的消费习惯
[51:07] 没有随着
[51:08] 我的薪资在长大
[51:10] 但当然我们
[51:11] 应该是说
[51:13] 分配的关系
[51:14] 我的优先顺序
[51:15] 就是小朋友
[51:16] 念的学校有比较好
[51:17] 然后他想要出去玩
[51:19] 去补习什么
[51:20] 这些东西
[51:20] 就是比较多一点点
[51:22] 但是你说
[51:24] 我约你们
[51:25] 我还是会觉得
[51:26] 咖啡店
[51:27] 就是
[51:27] 就好了啊
[51:28] 去几
[51:28] 没有
[51:29] 咖啡店几百块有点贵
[51:30] 对
[51:31] 但我们就去Saven
[51:31] 就全家做一下
[51:33] 只是要为人聊天
[51:33] 只是要为人聊天
[51:34] 就是目的是聊天
[51:35] 然后还有一个
[51:36] 就是生活习惯改变
[51:37] 因为像她就知道
[51:38] 我以前超爱叫Uber
[51:39] 对我超爱叫Uber然后然后就变成现在我就常常我女儿说啊可以叫外送啊我说不用啊向孔出去买就好了因为我也都是自己煮啊不然就自己煮
[51:49] 这样就可以
[51:50] 就可以
[51:50] 就我说真的
[51:51] 就像Manny讲的
[51:53] 就那个生活的费用
[51:54] 其实降低了很多
[51:55] 但是你现在是
[51:56] 确实跟快乐
[51:57] 但是我跟你说
[51:58] 你如果自己煮的话
[51:59] 因为我现在有订那个
[52:00] 外送平台
[52:02] 然后我有付费
[52:03] 你知道为什么吗
[52:04] 我发现
[52:05] 他送菜是不是
[52:05] 对
[52:05] 他大论发的
[52:07] 大全联跟什么
[52:10] 这时候生鲜的折价
[52:11] 还有折价
[52:12] 你知道我上次去
[52:13] 我那时候为什么订
[52:14] 就是因为我每天自己煮
[52:16] 然后有时候很忙
[52:17] 我没有办法一直去市场
[52:18] 因为一直去市场
[52:19] 你买那个量
[52:20] 菜很容易烂掉
[52:21] 那当然因为超市比较贵
[52:24] 市场比较便宜
[52:25] 可是市场买的菜回来会坏掉
[52:27] 所以我就还是买超市
[52:29] 就那天要煮的
[52:30] 我可能买个两三天的量
[52:32] 然后我就去
[52:33] 我拿着外送平台的app
[52:35] 然后去现场比价
[52:37] 我发现价钱是一样的
[52:39] 然后App
[52:40] 他常常会有什么
[52:41] 80块折价券
[52:42] 他还有折价券
[52:43] 对对对
[52:44] 我也会用那个买菜
[52:45] 对对对
[52:46] 就是他会折
[52:47] 他会折12%
[52:48] 我想说
[52:48] 哎呦
[52:49] 我现在拿
[52:50] 然后一模一样
[52:51] 跟平台上一模一样
[52:53] 我还要提回家
[52:55] 然后
[52:55] 还不如请他
[52:56] 还请人帮你送
[52:57] 还折12%
[52:58] 然后虽然说
[52:58] 他的外送费
[52:59] 好像9块多少钱
[53:00] 没关系给他
[53:01] 就给他
[53:01] 就还是有
[53:02] 所以我现在就很常用那个买菜
[53:05] 很好
[53:05] 我也是
[53:06] 好
[53:07] OK
[53:07] 我们刚刚被吹时间到了
[53:09] 我们刚被吹时间到了
[53:11] 好呦
[53:12] 今天很谢谢
[53:13] 谢谢三迪兔
[53:14] 来参加我们的节目
[53:15] 真的过上好日子
[53:18] 谢谢大家
[53:18] 谢谢
[53:19] 拜拜
[53:20] 拜拜
[53:21] 被吹了被吹了
[53:24] 谢谢谢谢
[53:24] 很棒耶
[53:24] 谢谢嘟嘟
[53:25] 讲了很多没讲过
[53:26] 好可爱哦
[53:27] 而且好
